Name,Period,Budget,Sales,ID,Email
Health Insurance,2018-09,180.00,246.00,5439,cfloryiv@rcn.com
Cell Phone,2018-08,73.00,73.00,5440,cfloryiv@rcn.com
Auto Insurance,2018-10,105.00,105.00,5441,cfloryiv@rcn.com
Property Taxes,2018-08,150.00,150.00,5442,cfloryiv@rcn.com
Antivirus,2018-12,17.00,17.00,5443,cfloryiv@rcn.com
Health Insurance,2018-08,180.00,180.00,5444,cfloryiv@rcn.com
Cleaning,2018-11,120.00,120.00,5445,cfloryiv@rcn.com
Condo Fee,2018-08,300.00,300.00,5446,cfloryiv@rcn.com
Charites,2018-08,100.00,72.00,5447,cfloryiv@rcn.com
Education,2018-11,90.00,120.00,5448,cfloryiv@rcn.com
Laundry,2019-01,20.00,20.00,5449,cfloryiv@rcn.com
Miscellaneous,2018-10,0.00,681.00,5450,cfloryiv@rcn.com
Car Payment,2018-09,400.00,400.00,5451,cfloryiv@rcn.com
Cleaning,2018-12,120.00,120.00,5452,cfloryiv@rcn.com
Antivirus,2018-08,17.00,17.00,5453,cfloryiv@rcn.com
Groceries,2018-09,440.00,472.00,5454,cfloryiv@rcn.com
Movies,2018-12,150.00,33.00,5455,cfloryiv@rcn.com
Car Payment,2018-10,400.00,400.00,5456,cfloryiv@rcn.com
Miscellaneous,2019-01,0.00,391.00,5457,cfloryiv@rcn.com
Car Payment,2019-01,400.00,400.00,5458,cfloryiv@rcn.com
Charites,2019-01,100.00,138.00,5459,cfloryiv@rcn.com
Web Hosting,2018-09,20.00,20.00,5460,cfloryiv@rcn.com
Education,2019-01,90.00,20.00,5461,cfloryiv@rcn.com
Gas,2018-10,100.00,111.00,5462,cfloryiv@rcn.com
Amonazon-Books,2019-02,400.00,318.00,5463,cfloryiv@rcn.com
Antivirus,2019-02,17.00,17.00,5464,cfloryiv@rcn.com
Antivirus,2019-03,17.00,17.00,5465,cfloryiv@rcn.com
Auto Expenses,2019-03,50.00,115.00,5466,cfloryiv@rcn.com
Auto Insurance,2019-03,105.00,105.00,5467,cfloryiv@rcn.com
Cable TV,2019-03,159.00,158.00,5468,cfloryiv@rcn.com
Car Payment,2019-03,400.00,400.00,5469,cfloryiv@rcn.com
Cash,2019-03,200.00,200.00,5470,cfloryiv@rcn.com
Cell Phone,2019-03,73.00,73.00,5471,cfloryiv@rcn.com
Charites,2019-03,100.00,183.00,5472,cfloryiv@rcn.com
Cleaning,2019-03,120.00,120.00,5473,cfloryiv@rcn.com
Condo Fee,2019-03,300.00,300.00,5474,cfloryiv@rcn.com
Credit Monitoring,2019-03,24.00,24.00,5475,cfloryiv@rcn.com
Education,2019-03,90.00,0.00,5476,cfloryiv@rcn.com
Electric Bill,2019-03,100.00,52.00,5477,cfloryiv@rcn.com
Electronics,2019-03,200.00,639.00,5478,cfloryiv@rcn.com
Friday Takeout,2019-03,200.00,130.00,5479,cfloryiv@rcn.com
Gas,2019-03,100.00,42.00,5480,cfloryiv@rcn.com
Great Courses,2019-03,50.00,0.00,5481,cfloryiv@rcn.com
Groceries,2019-03,440.00,421.00,5482,cfloryiv@rcn.com
Health Insurance,2019-03,180.00,480.00,5483,cfloryiv@rcn.com
Kathy,2019-03,0.00,0.00,5484,cfloryiv@rcn.com
Laundry,2019-03,20.00,20.00,5485,cfloryiv@rcn.com
Medicine,2019-03,100.00,24.00,5486,cfloryiv@rcn.com
Movies,2019-03,35.00,35.00,5487,cfloryiv@rcn.com
Property Taxes,2019-03,150.00,150.00,5488,cfloryiv@rcn.com
Therapy,2019-03,135.00,115.00,5489,cfloryiv@rcn.com
Amonazon-Books,2019-03,400.00,494.00,5490,cfloryiv@rcn.com
Laundry,2018-11,20.00,20.00,5491,cfloryiv@rcn.com
Miscellaneous,2019-03,0.00,-2105.00,5492,cfloryiv@rcn.com
Web Hosting,2019-02,20.00,20.00,5493,cfloryiv@rcn.com
Auto Expenses,2019-02,50.00,82.00,5494,cfloryiv@rcn.com
Auto Insurance,2019-02,105.00,105.00,5495,cfloryiv@rcn.com
Cable TV,2019-02,159.00,159.00,5496,cfloryiv@rcn.com
Car Payment,2019-02,400.00,400.00,5497,cfloryiv@rcn.com
Cash,2019-02,200.00,0.00,5498,cfloryiv@rcn.com
Cell Phone,2019-02,73.00,73.00,5499,cfloryiv@rcn.com
Charites,2019-02,100.00,174.00,5500,cfloryiv@rcn.com
Cleaning,2019-02,120.00,120.00,5501,cfloryiv@rcn.com
Condo Fee,2019-02,300.00,300.00,5502,cfloryiv@rcn.com
Credit Monitoring,2019-02,24.00,24.00,5503,cfloryiv@rcn.com
Education,2019-02,90.00,12.00,5504,cfloryiv@rcn.com
Electric Bill,2019-02,100.00,49.00,5505,cfloryiv@rcn.com
Electronics,2019-02,200.00,279.00,5506,cfloryiv@rcn.com
Friday Takeout,2019-02,200.00,176.00,5507,cfloryiv@rcn.com
Gas,2019-02,100.00,36.00,5508,cfloryiv@rcn.com
Great Courses,2019-02,50.00,60.00,5509,cfloryiv@rcn.com
Groceries,2019-02,440.00,535.00,5510,cfloryiv@rcn.com
Health Insurance,2019-02,180.00,0.00,5511,cfloryiv@rcn.com
Kathy,2019-02,0.00,0.00,5512,cfloryiv@rcn.com
Laundry,2019-02,20.00,20.00,5513,cfloryiv@rcn.com
Medicine,2019-02,100.00,507.00,5514,cfloryiv@rcn.com
Miscellaneous,2019-02,0.00,-77.00,5515,cfloryiv@rcn.com
Movies,2019-02,35.00,35.00,5516,cfloryiv@rcn.com
Property Taxes,2019-02,150.00,225.00,5517,cfloryiv@rcn.com
Therapy,2019-02,135.00,90.00,5518,cfloryiv@rcn.com
vacation,2019-02,100.00,100.00,5519,cfloryiv@rcn.com
Auto Insurance,2018-09,105.00,105.00,5520,cfloryiv@rcn.com
Property Taxes,2018-11,150.00,150.00,5521,cfloryiv@rcn.com
Therapy,2018-08,135.00,135.00,5522,cfloryiv@rcn.com
Cell Phone,2019-01,73.00,91.00,5523,cfloryiv@rcn.com
Credit Monitoring,2018-11,24.00,24.00,5524,cfloryiv@rcn.com
Cell Phone,2018-10,73.00,73.00,5525,cfloryiv@rcn.com
vacation,2018-09,100.00,100.00,5526,cfloryiv@rcn.com
Cable TV,2018-08,159.00,159.00,5527,cfloryiv@rcn.com
vacation,2018-10,100.00,377.00,5528,cfloryiv@rcn.com
Cable TV,2018-09,159.00,159.00,5529,cfloryiv@rcn.com
Credit Monitoring,2018-12,24.00,24.00,5530,cfloryiv@rcn.com
Electric Bill,2018-08,100.00,117.00,5531,cfloryiv@rcn.com
Great Courses,2018-08,50.00,60.00,5532,cfloryiv@rcn.com
Charites,2018-12,100.00,138.00,5533,cfloryiv@rcn.com
Cell Phone,2018-11,73.00,73.00,5534,cfloryiv@rcn.com
Cleaning,2018-09,120.00,120.00,5535,cfloryiv@rcn.com
Antivirus,2018-09,17.00,17.00,5536,cfloryiv@rcn.com
Education,2018-10,90.00,20.00,5537,cfloryiv@rcn.com
Groceries,2018-10,440.00,390.00,5538,cfloryiv@rcn.com
Condo Fee,2018-11,300.00,300.00,5539,cfloryiv@rcn.com
Friday Takeout,2018-08,200.00,206.00,5540,cfloryiv@rcn.com
Auto Insurance,2018-11,105.00,100.00,5541,cfloryiv@rcn.com
Condo Fee,2018-09,300.00,300.00,5542,cfloryiv@rcn.com
Therapy,2018-09,135.00,135.00,5543,cfloryiv@rcn.com
Auto Expenses,2018-11,50.00,132.00,5544,cfloryiv@rcn.com
Web Hosting,2018-12,20.00,20.00,5545,cfloryiv@rcn.com
Auto Insurance,2018-12,105.00,100.00,5546,cfloryiv@rcn.com
Car Payment,2018-08,400.00,400.00,5547,cfloryiv@rcn.com
Web Hosting,2018-11,20.00,20.00,5548,cfloryiv@rcn.com
Web Hosting,2018-08,20.00,20.00,5549,cfloryiv@rcn.com
Groceries,2019-01,440.00,522.00,5550,cfloryiv@rcn.com
Health Insurance,2019-01,180.00,180.00,5551,cfloryiv@rcn.com
Credit Monitoring,2018-10,24.00,24.00,5552,cfloryiv@rcn.com
Cash,2018-10,200.00,300.00,5553,cfloryiv@rcn.com
Great Courses,2018-12,50.00,0.00,5554,cfloryiv@rcn.com
Gas,2018-08,100.00,73.00,5555,cfloryiv@rcn.com
Amonazon-Books,2018-10,400.00,435.00,5556,cfloryiv@rcn.com
Property Taxes,2019-01,150.00,150.00,5557,cfloryiv@rcn.com
Medicine,2018-11,100.00,55.00,5558,cfloryiv@rcn.com
Friday Takeout,2019-01,200.00,136.00,5559,cfloryiv@rcn.com
Auto Insurance,2019-01,105.00,100.00,5560,cfloryiv@rcn.com
Cleaning,2018-08,120.00,120.00,5561,cfloryiv@rcn.com
vacation,2018-08,100.00,100.00,5562,cfloryiv@rcn.com
Medicine,2019-01,100.00,25.00,5563,cfloryiv@rcn.com
Cell Phone,2018-09,73.00,73.00,5564,cfloryiv@rcn.com
Education,2018-08,90.00,90.00,5565,cfloryiv@rcn.com
vacation,2019-01,100.00,100.00,5566,cfloryiv@rcn.com
Amonazon-Books,2018-08,400.00,395.00,5567,cfloryiv@rcn.com
Groceries,2018-11,440.00,645.00,5568,cfloryiv@rcn.com
Groceries,2018-08,440.00,508.00,5569,cfloryiv@rcn.com
Condo Fee,2018-10,300.00,300.00,5570,cfloryiv@rcn.com
Car Payment,2018-11,400.00,400.00,5571,cfloryiv@rcn.com
Electronics,2018-12,200.00,-19.00,5572,cfloryiv@rcn.com
Gas,2018-09,100.00,43.00,5573,cfloryiv@rcn.com
Charites,2018-09,100.00,119.00,5574,cfloryiv@rcn.com
Credit Monitoring,2018-08,24.00,24.00,5575,cfloryiv@rcn.com
vacation,2018-12,100.00,100.00,5576,cfloryiv@rcn.com
Car Payment,2018-12,400.00,400.00,5577,cfloryiv@rcn.com
Web Hosting,2019-03,20.00,20.00,5578,cfloryiv@rcn.com
Groceries,2018-12,440.00,440.00,5579,cfloryiv@rcn.com
Medicine,2018-09,100.00,54.00,5580,cfloryiv@rcn.com
Electronics,2018-11,200.00,-171.00,5581,cfloryiv@rcn.com
Kathy,2018-11,50.00,355.00,5582,cfloryiv@rcn.com
Great Courses,2019-01,50.00,0.00,5583,cfloryiv@rcn.com
Cash,2018-12,200.00,200.00,5584,cfloryiv@rcn.com
Movies,2018-09,150.00,70.00,5585,cfloryiv@rcn.com
Friday Takeout,2018-12,200.00,307.00,5586,cfloryiv@rcn.com
Condo Fee,2018-12,300.00,300.00,5587,cfloryiv@rcn.com
Cleaning,2019-01,120.00,120.00,5588,cfloryiv@rcn.com
Amonazon-Books,2018-12,400.00,261.00,5589,cfloryiv@rcn.com
Electronics,2018-08,400.00,170.00,5590,cfloryiv@rcn.com
Cable TV,2018-11,159.00,159.00,5591,cfloryiv@rcn.com
vacation,2018-11,100.00,100.00,5592,cfloryiv@rcn.com
Electric Bill,2018-11,100.00,53.00,5593,cfloryiv@rcn.com
Gas,2018-12,100.00,86.00,5594,cfloryiv@rcn.com
Friday Takeout,2018-10,200.00,159.00,5595,cfloryiv@rcn.com
Auto Expenses,2018-10,50.00,50.00,5596,cfloryiv@rcn.com
Electric Bill,2018-10,100.00,75.00,5597,cfloryiv@rcn.com
Cash,2018-11,200.00,100.00,5598,cfloryiv@rcn.com
Property Taxes,2018-09,150.00,150.00,5599,cfloryiv@rcn.com
Gas,2018-11,100.00,80.00,5600,cfloryiv@rcn.com
Antivirus,2018-10,17.00,17.00,5601,cfloryiv@rcn.com
Auto Expenses,2018-09,50.00,73.00,5602,cfloryiv@rcn.com
Amonazon-Books,2018-09,400.00,339.00,5603,cfloryiv@rcn.com
Laundry,2018-09,20.00,20.00,5604,cfloryiv@rcn.com
Medicine,2018-12,100.00,112.00,5605,cfloryiv@rcn.com
Credit Monitoring,2019-01,24.00,24.00,5606,cfloryiv@rcn.com
Kathy,2018-09,150.00,0.00,5607,cfloryiv@rcn.com
Cable TV,2018-10,159.00,159.00,5608,cfloryiv@rcn.com
Friday Takeout,2018-09,200.00,184.00,5609,cfloryiv@rcn.com
Miscellaneous,2018-12,0.00,583.00,5610,cfloryiv@rcn.com
Health Insurance,2018-10,180.00,180.00,5611,cfloryiv@rcn.com
Property Taxes,2018-12,150.00,150.00,5612,cfloryiv@rcn.com
Laundry,2018-10,20.00,20.00,5613,cfloryiv@rcn.com
Movies,2018-10,150.00,40.00,5614,cfloryiv@rcn.com
Amonazon-Books,2018-11,400.00,219.00,5615,cfloryiv@rcn.com
Kathy,2018-12,50.00,170.00,5616,cfloryiv@rcn.com
Medicine,2018-10,100.00,91.00,5617,cfloryiv@rcn.com
Kathy,2019-01,0.00,915.00,5618,cfloryiv@rcn.com
Electronics,2019-01,200.00,593.00,5619,cfloryiv@rcn.com
Web Hosting,2019-01,20.00,20.00,5620,cfloryiv@rcn.com
Health Insurance,2018-11,180.00,180.00,5621,cfloryiv@rcn.com
Electric Bill,2019-01,100.00,56.00,5622,cfloryiv@rcn.com
Charites,2018-10,100.00,110.00,5623,cfloryiv@rcn.com
Auto Insurance,2018-08,105.00,105.00,5624,cfloryiv@rcn.com
Antivirus,2019-01,17.00,17.00,5625,cfloryiv@rcn.com
Electronics,2018-10,200.00,2187.00,5626,cfloryiv@rcn.com
Laundry,2018-12,20.00,20.00,5627,cfloryiv@rcn.com
Health Insurance,2018-12,180.00,209.00,5628,cfloryiv@rcn.com
Amonazon-Books,2019-01,400.00,1013.00,5629,cfloryiv@rcn.com
Electric Bill,2018-12,100.00,98.00,5630,cfloryiv@rcn.com
Great Courses,2018-09,50.00,40.00,5631,cfloryiv@rcn.com
Miscellaneous,2018-08,0.00,420.00,5632,cfloryiv@rcn.com
Auto Expenses,2018-08,50.00,50.00,5633,cfloryiv@rcn.com
Movies,2019-01,35.00,68.00,5634,cfloryiv@rcn.com
Web Hosting,2018-10,20.00,20.00,5635,cfloryiv@rcn.com
Kathy,2018-10,50.00,155.00,5636,cfloryiv@rcn.com
vacation,2019-03,100.00,100.00,5637,cfloryiv@rcn.com
Antivirus,2019-04,17.00,17.00,5638,cfloryiv@rcn.com
Auto Insurance,2019-09,105.00,105.00,5639,cfloryiv@rcn.com
Cable TV,2019-09,159.00,159.00,5640,cfloryiv@rcn.com
Car Payment,2019-09,400.00,400.00,5641,cfloryiv@rcn.com
Cash,2019-09,100.00,200.00,5642,cfloryiv@rcn.com
Cell Phone,2019-09,73.00,73.00,5643,cfloryiv@rcn.com
Charites,2019-09,100.00,168.00,5644,cfloryiv@rcn.com
Cleaning,2019-09,120.00,120.00,5645,cfloryiv@rcn.com
Condo Fee,2019-09,300.00,300.00,5646,cfloryiv@rcn.com
Credit Monitoring,2019-09,24.00,24.00,5647,cfloryiv@rcn.com
Education,2019-09,90.00,20.00,5648,cfloryiv@rcn.com
Electric Bill,2019-09,100.00,93.00,5649,cfloryiv@rcn.com
Auto Expenses,2019-09,50.00,75.00,5650,cfloryiv@rcn.com
Electronics,2019-09,200.00,529.00,5651,cfloryiv@rcn.com
Gas,2019-09,100.00,32.00,5652,cfloryiv@rcn.com
Great Courses,2019-09,50.00,0.00,5653,cfloryiv@rcn.com
Groceries,2019-09,440.00,539.00,5654,cfloryiv@rcn.com
Health Insurance,2019-09,45.00,37.00,5655,cfloryiv@rcn.com
Kathy,2019-09,0.00,0.00,5656,cfloryiv@rcn.com
Laundry,2019-09,20.00,20.00,5657,cfloryiv@rcn.com
Medicine,2019-09,100.00,60.00,5658,cfloryiv@rcn.com
Miscellaneous,2019-09,150.00,63.00,5659,cfloryiv@rcn.com
Movies,2019-09,35.00,35.00,5660,cfloryiv@rcn.com
Property Taxes,2019-09,150.00,150.00,5661,cfloryiv@rcn.com
Therapy,2019-09,70.00,75.00,5662,cfloryiv@rcn.com
Friday Takeout,2019-09,200.00,147.00,5663,cfloryiv@rcn.com
Antivirus,2019-09,17.00,17.00,5664,cfloryiv@rcn.com
Amonazon-Books,2019-09,400.00,1159.00,5665,cfloryiv@rcn.com
vacation,2019-08,100.00,100.00,5666,cfloryiv@rcn.com
Auto Expenses,2019-08,50.00,0.00,5667,cfloryiv@rcn.com
Auto Insurance,2019-08,105.00,100.00,5668,cfloryiv@rcn.com
Cable TV,2019-08,159.00,158.00,5669,cfloryiv@rcn.com
Car Payment,2019-08,400.00,400.00,5670,cfloryiv@rcn.com
Cash,2019-08,100.00,100.00,5671,cfloryiv@rcn.com
Cell Phone,2019-08,73.00,73.00,5672,cfloryiv@rcn.com
Charites,2019-08,100.00,136.00,5673,cfloryiv@rcn.com
Cleaning,2019-08,120.00,120.00,5674,cfloryiv@rcn.com
Condo Fee,2019-08,300.00,300.00,5675,cfloryiv@rcn.com
Credit Monitoring,2019-08,24.00,25.00,5676,cfloryiv@rcn.com
Education,2019-08,90.00,33.00,5677,cfloryiv@rcn.com
Electric Bill,2019-08,100.00,100.00,5678,cfloryiv@rcn.com
Electronics,2019-08,200.00,574.00,5679,cfloryiv@rcn.com
Friday Takeout,2019-08,200.00,251.00,5680,cfloryiv@rcn.com
Gas,2019-08,100.00,41.00,5681,cfloryiv@rcn.com
Great Courses,2019-08,50.00,60.00,5682,cfloryiv@rcn.com
Groceries,2019-08,440.00,473.00,5683,cfloryiv@rcn.com
Health Insurance,2019-08,45.00,82.00,5684,cfloryiv@rcn.com
Laundry,2019-08,20.00,20.00,5685,cfloryiv@rcn.com
Medicine,2019-08,100.00,308.00,5686,cfloryiv@rcn.com
Miscellaneous,2019-08,150.00,-182.00,5687,cfloryiv@rcn.com
Movies,2019-08,35.00,56.00,5688,cfloryiv@rcn.com
Property Taxes,2019-08,150.00,150.00,5689,cfloryiv@rcn.com
Therapy,2019-08,70.00,55.00,5690,cfloryiv@rcn.com
Web Hosting,2019-08,20.00,20.00,5691,cfloryiv@rcn.com
Web Hosting,2019-09,20.00,20.00,5692,cfloryiv@rcn.com
vacation,2019-09,100.00,100.00,5693,cfloryiv@rcn.com
Amonazon-Books,2019-10,400.00,762.00,5694,cfloryiv@rcn.com
Antivirus,2019-10,17.00,17.00,5695,cfloryiv@rcn.com
Auto Expenses,2019-11,50.00,0.00,5696,cfloryiv@rcn.com
Auto Insurance,2019-11,105.00,100.00,5697,cfloryiv@rcn.com
Cable TV,2019-11,159.00,159.00,5698,cfloryiv@rcn.com
Car Payment,2019-11,400.00,400.00,5699,cfloryiv@rcn.com
Cash,2019-11,100.00,100.00,5700,cfloryiv@rcn.com
Cell Phone,2019-11,73.00,73.00,5701,cfloryiv@rcn.com
Charites,2019-11,100.00,182.00,5702,cfloryiv@rcn.com
Cleaning,2019-11,120.00,120.00,5703,cfloryiv@rcn.com
Condo Fee,2019-11,300.00,300.00,5704,cfloryiv@rcn.com
Credit Monitoring,2019-11,24.00,24.00,5705,cfloryiv@rcn.com
Education,2019-11,90.00,20.00,5706,cfloryiv@rcn.com
Electric Bill,2019-11,100.00,55.00,5707,cfloryiv@rcn.com
Electronics,2019-11,200.00,1024.00,5708,cfloryiv@rcn.com
Friday Takeout,2019-11,200.00,203.00,5709,cfloryiv@rcn.com
Gas,2019-11,100.00,46.00,5710,cfloryiv@rcn.com
Great Courses,2019-11,50.00,0.00,5711,cfloryiv@rcn.com
Groceries,2019-11,440.00,556.00,5712,cfloryiv@rcn.com
Health Insurance,2019-11,45.00,-12.00,5713,cfloryiv@rcn.com
Laundry,2019-11,20.00,20.00,5714,cfloryiv@rcn.com
Medicine,2019-11,100.00,375.00,5715,cfloryiv@rcn.com
Miscellaneous,2019-11,150.00,779.00,5716,cfloryiv@rcn.com
Movies,2019-11,35.00,63.00,5717,cfloryiv@rcn.com
Property Taxes,2019-11,150.00,150.00,5718,cfloryiv@rcn.com
Therapy,2019-11,70.00,75.00,5719,cfloryiv@rcn.com
Web Hosting,2019-11,20.00,20.00,5720,cfloryiv@rcn.com
Antivirus,2019-11,17.00,17.00,5721,cfloryiv@rcn.com
Antivirus,2019-08,17.00,17.00,5722,cfloryiv@rcn.com
Amonazon-Books,2019-11,400.00,1737.00,5723,cfloryiv@rcn.com
Web Hosting,2019-10,20.00,20.00,5724,cfloryiv@rcn.com
Auto Expenses,2019-10,50.00,0.00,5725,cfloryiv@rcn.com
Auto Insurance,2019-10,105.00,100.00,5726,cfloryiv@rcn.com
Cable TV,2019-10,159.00,159.00,5727,cfloryiv@rcn.com
Car Payment,2019-10,400.00,400.00,5728,cfloryiv@rcn.com
Cash,2019-10,100.00,100.00,5729,cfloryiv@rcn.com
Cell Phone,2019-10,73.00,73.00,5730,cfloryiv@rcn.com
Charites,2019-10,100.00,184.00,5731,cfloryiv@rcn.com
Cleaning,2019-10,120.00,120.00,5732,cfloryiv@rcn.com
Condo Fee,2019-10,300.00,300.00,5733,cfloryiv@rcn.com
Credit Monitoring,2019-10,24.00,24.00,5734,cfloryiv@rcn.com
Education,2019-10,90.00,32.00,5735,cfloryiv@rcn.com
Electric Bill,2019-10,100.00,78.00,5736,cfloryiv@rcn.com
Electronics,2019-10,200.00,155.00,5737,cfloryiv@rcn.com
Friday Takeout,2019-10,200.00,163.00,5738,cfloryiv@rcn.com
Gas,2019-10,100.00,55.00,5739,cfloryiv@rcn.com
Great Courses,2019-10,50.00,0.00,5740,cfloryiv@rcn.com
Groceries,2019-10,440.00,399.00,5741,cfloryiv@rcn.com
Health Insurance,2019-10,45.00,37.00,5742,cfloryiv@rcn.com
Kathy,2019-10,0.00,0.00,5743,cfloryiv@rcn.com
Laundry,2019-10,20.00,20.00,5744,cfloryiv@rcn.com
Medicine,2019-10,100.00,3.00,5745,cfloryiv@rcn.com
Miscellaneous,2019-10,150.00,262.00,5746,cfloryiv@rcn.com
Movies,2019-10,35.00,45.00,5747,cfloryiv@rcn.com
Property Taxes,2019-10,150.00,150.00,5748,cfloryiv@rcn.com
Therapy,2019-10,70.00,125.00,5749,cfloryiv@rcn.com
vacation,2019-10,100.00,0.00,5750,cfloryiv@rcn.com
Amonazon-Books,2019-08,400.00,767.00,5751,cfloryiv@rcn.com
vacation,2019-07,100.00,100.00,5752,cfloryiv@rcn.com
Web Hosting,2019-07,20.00,20.00,5753,cfloryiv@rcn.com
Auto Expenses,2019-05,50.00,0.00,5754,cfloryiv@rcn.com
Auto Insurance,2019-05,105.00,105.00,5755,cfloryiv@rcn.com
Cable TV,2019-05,159.00,148.00,5756,cfloryiv@rcn.com
Car Payment,2019-05,400.00,400.00,5757,cfloryiv@rcn.com
Cash,2019-05,200.00,200.00,5758,cfloryiv@rcn.com
Cell Phone,2019-05,73.00,73.00,5759,cfloryiv@rcn.com
Charites,2019-05,100.00,147.00,5760,cfloryiv@rcn.com
Cleaning,2019-05,120.00,120.00,5761,cfloryiv@rcn.com
Condo Fee,2019-05,300.00,300.00,5762,cfloryiv@rcn.com
Credit Monitoring,2019-05,24.00,24.00,5763,cfloryiv@rcn.com
Education,2019-05,90.00,0.00,5764,cfloryiv@rcn.com
Electric Bill,2019-05,100.00,54.00,5765,cfloryiv@rcn.com
Electronics,2019-05,200.00,1182.00,5766,cfloryiv@rcn.com
Friday Takeout,2019-05,200.00,165.00,5767,cfloryiv@rcn.com
Gas,2019-05,100.00,71.00,5768,cfloryiv@rcn.com
Great Courses,2019-05,50.00,0.00,5769,cfloryiv@rcn.com
Groceries,2019-05,440.00,474.00,5770,cfloryiv@rcn.com
Health Insurance,2019-05,180.00,93.00,5771,cfloryiv@rcn.com
Kathy,2019-05,0.00,0.00,5772,cfloryiv@rcn.com
Laundry,2019-05,20.00,20.00,5773,cfloryiv@rcn.com
Medicine,2019-05,100.00,24.00,5774,cfloryiv@rcn.com
Miscellaneous,2019-05,0.00,100.00,5775,cfloryiv@rcn.com
Movies,2019-05,35.00,65.00,5776,cfloryiv@rcn.com
Property Taxes,2019-05,150.00,150.00,5777,cfloryiv@rcn.com
Therapy,2019-05,135.00,93.00,5778,cfloryiv@rcn.com
Antivirus,2019-05,17.00,17.00,5779,cfloryiv@rcn.com
Web Hosting,2019-05,20.00,20.00,5780,cfloryiv@rcn.com
Amonazon-Books,2019-05,400.00,442.00,5781,cfloryiv@rcn.com
Web Hosting,2019-04,20.00,20.00,5782,cfloryiv@rcn.com
Auto Expenses,2019-04,50.00,142.00,5783,cfloryiv@rcn.com
Auto Insurance,2019-04,105.00,105.00,5784,cfloryiv@rcn.com
Cable TV,2019-04,159.00,159.00,5785,cfloryiv@rcn.com
Car Payment,2019-04,400.00,400.00,5786,cfloryiv@rcn.com
Cash,2019-04,200.00,0.00,5787,cfloryiv@rcn.com
Cell Phone,2019-04,73.00,137.00,5788,cfloryiv@rcn.com
Charites,2019-04,100.00,151.00,5789,cfloryiv@rcn.com
Cleaning,2019-04,120.00,120.00,5790,cfloryiv@rcn.com
Condo Fee,2019-04,300.00,300.00,5791,cfloryiv@rcn.com
Credit Monitoring,2019-04,24.00,24.00,5792,cfloryiv@rcn.com
Education,2019-04,90.00,46.00,5793,cfloryiv@rcn.com
Electric Bill,2019-04,100.00,54.00,5794,cfloryiv@rcn.com
Electronics,2019-04,200.00,386.00,5795,cfloryiv@rcn.com
Friday Takeout,2019-04,200.00,144.00,5796,cfloryiv@rcn.com
Gas,2019-04,100.00,42.00,5797,cfloryiv@rcn.com
Great Courses,2019-04,50.00,60.00,5798,cfloryiv@rcn.com
Groceries,2019-04,440.00,552.00,5799,cfloryiv@rcn.com
Health Insurance,2019-04,180.00,214.00,5800,cfloryiv@rcn.com
Kathy,2019-04,0.00,0.00,5801,cfloryiv@rcn.com
Laundry,2019-04,20.00,20.00,5802,cfloryiv@rcn.com
Medicine,2019-04,100.00,103.00,5803,cfloryiv@rcn.com
